id,course_name,degree_id,college_dunia_link,target_study_link,careers_360_link,status,sequence,is_deleted,created_by,created_on,updated_on,updated_by
55,"MSW (Masters of Social Work)",2,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
56,"MCM (Masters of Computer Management)",2,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
57,Ph.D/Doctorate,1,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
58,"MPHIL (Masters of Philosophy)",1,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
71,"BBI (Bachelor of Banking and Insurance)",3,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
72,"BAF (Bachelors of Accounting & Finance)",3,,,,Active,0,No,0,"2023-05-15 06:23:37","2024-04-25 15:55:26",0
77,"B.Voc (Bachelor of Vocation)",3,,,,Active,0,No,0,"2023-06-15 15:30:53","2024-01-03 15:30:18",1986
82,"PGPM (Post Graduate Program in Management)",2,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
83,"BMM (Bachelor`s of Mass Media)",3,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
84,"Integrated PG",2,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
127,"BFM (Bachelors of Finance Management)",3,,,,In-active,0,No,0,"2023-05-15 06:23:37","2024-01-03 15:30:18",0
128,"MBA (INTEGRATED)",2,,,,In-active,0,No,0,"2023-05-15 06:23:37","2024-01-03 15:30:18",0
153,"APPLIED ARTS AND CRAFTS",4,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
164,"APPLIED ARTS AND CRAFTS",2,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
165,"APPLIED ARTS AND CRAFTS",3,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
182,"BAMS (BACHELOR IN AYURVEDIC MEDICINE AND SURGERY)",3,,,,In-active,0,No,0,"2023-05-15 06:23:37","2024-01-03 15:30:18",0
192,"ITI Courses",3,,,,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
240,"BHMS (Bachelor of Homeopathic Medicine and Surge",3,,,,In-active,0,No,0,"2023-05-15 06:23:37","2024-01-03 15:30:18",0
265,"Bachelor of Industrial Design (B.I.D)",4,https://www.careers360.com/courses/bid-bachelor-of-interior-design,https://www.careers360.com/courses/bid-bachelor-of-interior-design,https://www.careers360.com/courses/bid-bachelor-of-interior-design,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
266,"Bachelor Of Mass Communication (BMC)",3,https://collegedunia.com/courses/bachelor-of-mass-communication-bmc,https://collegedunia.com/courses/bachelor-of-mass-communication-bmc,https://collegedunia.com/courses/bachelor-of-mass-communication-bmc,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
267,"MSC (Integrated)",2,https://www.careers360.com/university/university-of-mumbai-mumbai/msc-basic-sciences-integrated-course,https://www.careers360.com/university/university-of-mumbai-mumbai/msc-basic-sciences-integrated-course,https://www.careers360.com/university/university-of-mumbai-mumbai/msc-basic-sciences-integrated-course,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
268,B.S.,3,https://targetstudy.com/colleges/bs-economics-degree-colleges-in-india.html,https://targetstudy.com/colleges/bs-economics-degree-colleges-in-india.html,https://targetstudy.com/colleges/bs-economics-degree-colleges-in-india.html,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
269,"BMLT (Bachelor in Medical Laboratory Technology)",3,https://collegedunia.com/courses/bachelor-in-medical-laboratory-technology-bmlt,https://collegedunia.com/courses/bachelor-in-medical-laboratory-technology-bmlt,https://collegedunia.com/courses/bachelor-in-medical-laboratory-technology-bmlt,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
